time,open,high,low,close,volume,vnindex,vn30,hnx,gold,oil,month,day,weekday,hour,minute,minute_segment,monday_morning,friday_afternoon,pre_holiday_afternoon,post_holiday_morning,return,log_return,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,regime
2015-11-02,14.43,14.67,14.4,14.43,1229570.0,602.76,613.19,81.11,1135.800048828125,48.790000915527344,11,2,0,0,0,0,1,0,0,1,0.0,0.0,-4363474.04352581,10872190.0,-0.0733712971219429,127744.5294850439,1.5232137779763488,3.143391397759728,268264.8059546801,14.147161608385046,77.6876366933659,1095.373793671777,13.2935,13.846176216242377,12.740823783757625,8.314984259109744,0.3792240410600072,0.0,0.0,13.197,13.395,12.999,3.0006819731757144,0.4065656565656565,0.0,0.0,12.7,14.16,13.43,10.98281114830557,0.3150684931506853,0.3459830984661529,3.356221555227551,0.1454327152488854,0.0582018419600238,0.0872308732888616,13.22,13.861153846153844,14.134023633929438,13.18245019649464,1.187203791469193,0.7203791469194311,0.466824644549762,0.1455600770379473,23.926846010514513,0.0165000000000006,-396.1228610995364,-513.6261400689442,117.5032789694078,14.2,12.825,13.045,12.965,52.22161878829547,19.314997361660964,36.43847384080423,13.431861062468297,-54.889912954429064,12.965,36.78961790814357,8.0,8.0,0.0,13.709373558006911,14.499717241226875,0.0,0.0,71.03852563773897,0.93568356890219,0.9298882766134984,0.938291338431795,-8.313134056804735,47.898965070267934,91.8478260869565,89.28274716145114,-8.152173913043498,0.6471111111111139,10.733590733590738,1.1161156853477423,0.4445272929109987,0.6715883924367438,8.737456894672988,11.872725606132366,-3.1352687114593785,12.810668308822097,0.458015267175571,0.45696956900656,11.171032357473033,0
2015-11-03,14.43,14.58,14.25,14.58,715650.0,611.71,623.85,81.89,1114.199951171875,50.540000915527344,11,3,1,0,0,0,0,0,0,0,0.1500000000000003,0.010341353794733,-5319806.265748038,12101760.0,-0.0987164268107223,113818.91098718053,-1.367914798449693,2.7832211090610732,268264.8059546801,14.16523536370664,70.32196047327892,1095.373793671777,13.307,13.884965396888074,12.729034603111923,8.686637061517626,0.8399857518426025,0.0,0.0,13.203,13.422,12.984,3.3174278573051628,1.634703196347028,1.0,0.0,12.8,14.16,13.48,10.220184865108587,0.6617647058823521,0.3323847886195377,3.3193761489744267,0.1142632139220989,0.0694141163524388,0.04484909756966,13.2525,13.921538461538464,14.20263538255568,13.169676107865408,1.1610576923076914,0.7524038461538457,0.4086538461538457,0.1789895391241221,23.48698108184308,0.2130000000000009,-360.5106437261865,-485.4498400179589,124.93919629177236,14.23,12.825,13.075,12.72,76.11080939414774,20.845366439492064,34.88314333050407,14.687842274782064,75.12437810945234,12.72,36.78961790814357,4.0,4.0,0.0,13.7,14.499717241226875,1.0,0.0,65.40941114683191,0.7175662614711681,0.8844166101244527,0.921877324572462,-4.525752334413884,53.91834379494266,80.43478260869558,89.13043478260867,-19.565217391304415,0.4981578947368437,8.8597842835131,0.87745696104759,0.5311132265383169,0.346343734509273,4.425539733707799,10.383288431647454,-5.957748697939655,12.810668308822097,4.103343465045595,4.021390693690785,11.171032357473033,1
2015-11-04,14.61,14.76,14.58,14.58,935950.0,610.6,621.35,81.73,1106.5,48.58000183105469,11,4,2,0,0,0,0,0,0,0,-0.0299999999999993,-0.0020554991820955,-4604156.265748038,12817410.0,-0.0677292241877086,77095.76656044055,-1.7842274295230092,2.9029603776734865,275703.99514386925,14.16958566057287,69.89517476205222,1106.7602156434173,13.298000000000002,13.846729441528328,12.749270558471675,8.252811573594924,0.8389648630515433,0.0,0.0,13.240333333333334,13.478333333333332,13.002333333333334,3.595075652677418,1.4026610644257709,1.0,0.0,12.8,14.16,13.48,10.227101819822524,0.6397058823529409,0.314146309757584,3.296887063614483,0.1196516306726565,0.0794616192164823,0.0401900114561741,13.265,13.984230769230768,14.260691477547113,13.15340380357908,1.1670644391408107,0.7255369928400952,0.4415274463007155,0.2098887344921852,23.09662183072073,0.1919999999999984,-326.8891928052178,-456.5069050587997,129.61771225358189,14.335,12.825,13.0225,12.555,88.05540469707387,22.134992915971345,33.77421266379134,14.856715089714353,141.60363086233042,12.555,36.78961790814357,0.0,0.0,0.0,13.719399999999998,14.499717241226875,0.0,0.0,66.23271273661247,0.7494676069237595,0.8009058124323726,0.8717368997234413,-1.63381684257944,52.33816426833783,83.695652173913,85.32608695652169,-16.304347826086996,0.3684999999999991,6.917755572636436,0.9173336580982944,0.6083573128503125,0.308976345247982,-0.2852634209324984,8.249578061131464,-8.534841482063962,12.810668308822097,-0.2189781021897818,-0.2192182098220918,12.326656394453009,0
2015-11-05,14.46,14.55,14.43,14.49,374890.0,615.18,625.71,81.85,1104.4000244140625,47.97999954223633,11,5,3,0,0,0,0,0,0,0,0.0299999999999993,0.002072539601972,-5540106.265748038,13753360.0,-0.1352173123564737,38673.54276609182,-1.4513788098693452,3.185182067183966,275703.99514386925,14.200982461719558,71.43513353112817,1106.7602156434173,13.312,13.932116118158518,12.691883881841484,9.316648409833489,1.207931929432255,1.0,0.0,13.303,13.566,13.04,3.9539953393971135,2.186311787072249,1.0,0.0,12.8,14.25,13.525,10.892427884615378,0.958620689655172,0.3157316787818256,3.209596015548975,0.1129371237886474,0.0861567201309153,0.026780403657732,13.323333333333332,14.042307692307691,14.295969711770631,13.14055907738804,1.202863961813842,0.6968973747016701,0.5059665871121718,0.238163709430754,22.724021593918778,0.1479999999999997,-307.64324449497104,-428.1017423943744,120.45849789940333,14.335,13.145,13.1825,12.325,94.02770234853692,22.803533681815217,31.408594489854607,16.363105907391652,209.3691865381364,12.325,36.78961790814357,100.0,0.0,100.0,13.738412,14.499717241226875,0.0,0.0,60.77997921831298,0.538184721299111,0.6684061965646796,0.784576206373835,3.777747815420525,53.81825752585197,72.28260869565219,78.80434782608693,-27.717391304347817,0.2890952380952392,4.809160305343518,0.8651353248431677,0.6597129152488835,0.2054224095942841,-5.701759810143883,5.459310486876395,-11.161070297020276,12.810668308822097,3.8039502560351046,3.7333840436093,12.326656394453009,1
2015-11-06,14.49,14.67,14.31,14.52,832310.0,612.36,622.67,81.5,1087.5999755859375,47.41999816894531,11,6,4,0,0,0,0,0,0,0,0.0299999999999993,0.002068253064059,-5540106.265748038,13378470.0,-0.0822095870244168,8989.665228078744,-6.9373573828389565,3.09401828674413,273389.8593414001,14.20832038010113,71.21350105606362,1099.9283624604332,13.338,14.03472376161574,12.64127623838426,10.447199904269604,1.0253157996954587,1.0,0.0,13.387,13.668,13.106,4.19810263688654,1.7153024911032,1.0,0.0,12.8,14.37,13.585,11.770880191932813,0.8089171974522298,0.3061585109036431,2.9885798989171333,0.1159620870699669,0.0921177935187256,0.0238442935512412,13.374166666666667,14.100384615384616,14.330435909959766,13.130888034618554,1.192857142857142,0.6976190476190473,0.4952380952380947,0.2598196580423493,22.433834256402875,0.0020000000000006,-288.46763894180754,-400.3558508660819,111.88821192427434,14.335,13.325,13.2725,12.325,97.01385117426848,22.52978999040581,29.904782685746184,20.367555983502427,209.30232558139576,12.325,36.78961790814357,100.0,0.0,100.0,13.77927552,14.499717241226875,0.0,0.0,55.61442143955504,0.3183695850561006,0.535340637759657,0.6682175489189031,7.284097110166625,58.11848641753879,57.558139534883715,71.1788001348163,-42.441860465116285,0.2657272727272737,4.787234042553184,0.8870203975556042,0.7051744117102278,0.1818459858453764,9.210628838249294,6.209574157150975,3.001054681098319,12.810668308822097,-0.8456659619450302,-0.8492620045653432,11.633281972265031,1
2015-11-09,14.52,14.91,14.46,14.85,1119460.0,610.66,619.44,81.42,1087.9000244140625,47.189998626708984,11,9,0,0,0,0,1,0,0,1,0.33,0.0224728558520586,-5401387.932414708,14210780.0,-0.0964910764227068,13399.08448121023,-5.108991825613111,2.2150737426751284,275113.068451131,14.247871368707658,64.96418372327048,1099.9283624604332,13.412,14.2739419934079,12.5500580065921,12.853295457916786,1.1601372300592043,1.0,0.0,13.518,13.82,13.216,4.468116585293677,2.208609271523184,1.0,0.0,12.8,14.64,13.72,13.719057560393674,0.9510869565217392,0.2995426598132789,2.5812647120685823,0.1337627040331668,0.1004467756216139,0.0333159284115529,13.475,14.167692307692308,14.410368846889032,13.128600032054216,1.1056338028169008,0.7887323943661972,0.3169014084507036,0.2723205862116494,22.26206590672647,-0.1020000000000003,-270.29713429257066,-373.2527487634628,102.95561447089216,14.41,13.325,13.2725,12.325,98.50692558713423,21.51781331329263,28.312235207056847,23.94262307495082,216.73877049618173,12.325,36.78961790814357,100.0,0.0,100.0,13.8185044992,14.499717241226875,0.0,0.0,51.73991078427248,0.1369700489120006,0.3311747850890707,0.5116405398044691,12.56186951340836,61.19448782656237,47.09302325581397,58.9779238287833,-52.90697674418603,0.3475652173913044,2.0437956204379644,1.0205977007794895,0.7682590695240802,0.2523386312554095,2.3708663754000803,5.4418326008007964,-3.070966225400716,12.810668308822097,3.4115138592750505,3.35461224912037,11.864406779661008,1
2015-11-10,14.82,14.85,14.61,14.61,613510.0,605.27,614.56,80.84,1088.199951171875,47.439998626708984,11,10,1,0,0,0,0,0,0,0,-0.2100000000000008,-0.0142713941053331,-4580450.5990813775,15330240.0,-0.1640814366062309,21261.515269608833,5.291602685695384,2.661866382550644,300555.3411784037,14.334856205586512,68.18480798450955,1099.9283624604332,13.4905,14.440394204635432,12.540605795364568,14.082416584047031,1.0261112211878405,1.0,0.0,13.673000000000002,13.972,13.374,4.373582973743867,1.8662207357859557,1.0,0.0,12.8,14.64,13.72,13.639227604610651,0.918478260869565,0.3065883938319509,2.213745911637224,0.1437915326620746,0.109115727029706,0.0346758056323686,13.573333333333332,14.22346153846154,14.441081331983026,13.130925955605756,1.1057268722466955,0.7533039647577092,0.3524229074889865,0.2749756246124196,22.319327222681956,-0.480500000000001,-253.13213247623136,-345.2236096477203,92.09147717148896,14.41,13.325,13.265,12.325,99.25346279356712,21.024390971297596,29.525125267981775,21.997692800337106,180.5497418724708,12.325,36.78961790814357,96.0,0.0,96.0,13.856164319232,14.499717241226875,0.0,0.0,52.91739038209577,0.097590569615099,0.1843100678610667,0.3502751635699315,16.243835963324795,53.585192862000774,50.58139534883714,51.74418604651161,-49.41860465116285,0.3769583333333344,3.80395025603511,1.0947427999287027,0.8335558156050047,0.261186984323698,-4.12998689912819,3.527468700814999,-7.657455599943189,12.810668308822097,-0.4123711340206171,-0.4132237284910633,14.406779661016934,1
2015-11-11,14.61,14.7,14.43,14.43,491500.0,603.53,612.71,80.53,1084.699951171875,45.810001373291016,11,11,2,0,0,0,0,0,0,0,-0.1799999999999997,-0.0123968529768285,-5193960.5990813775,14716730.0,-0.1407348861339549,41033.1559453789,-1.582498125989085,2.474602161414217,290640.0280470906,14.381564979248678,68.27393719980327,1082.151742461073,13.538999999999998,14.544502859269915,12.53349714073008,14.8534287505712,0.8684723485212325,0.0,0.0,13.805,14.11,13.5,4.4186888808402704,1.278688524590164,1.0,0.0,12.8,14.64,13.72,13.590368564886624,0.8043478260869559,0.2949295544487559,2.091847594680237,0.1476170646914241,0.1168159945620496,0.0308010701293744,13.679166666666667,14.25153846153846,14.439376511677946,13.173079588523848,1.1336302895322934,0.7973273942093538,0.3363028953229395,0.2712945764794793,22.439601035633903,-0.5889999999999986,-236.27665292333452,-319.30774456585783,83.03109164252331,14.52,13.325,13.295,12.34,97.0304774783948,20.5662130823022,28.25579006842031,21.051974686453672,133.39970134395196,12.34,36.78961790814357,92.0,56.00000000000001,35.99999999999999,13.91939446007808,14.499717241226875,0.0,0.0,56.5340026685704,0.2287423841609393,0.1544343342293463,0.2233063957264946,17.730764276841576,50.47266781651592,59.50920245398773,52.39454035287961,-40.49079754601226,0.3955999999999999,-0.4228329809725069,1.1218103021510044,0.8912067129142047,0.2306035892367997,-6.1075755041708835,1.6004598598178228,-7.708035363988707,12.810668308822097,-1.449275362318847,-1.459879942115272,12.557781201848982,1
2015-11-12,14.37,14.43,14.13,14.4,879940.0,605.58,614.39,81.07,1080.800048828125,44.060001373291016,11,12,3,0,0,0,0,0,0,0,0.0300000000000011,0.0020855064910212,-5685460.5990813775,14225230.0,-0.0991095160310441,28673.7050960392,6.510587925818754,2.604902427955593,284584.58656865114,14.40229585020246,69.39072375752883,1068.8192774615522,13.5965,14.646152799739026,12.546847200260975,15.440044125164937,0.8541647296062351,0.0,0.0,13.936000000000002,14.247,13.625,4.463260619977037,1.1495176848874598,1.0,0.0,12.8,14.64,13.72,13.532894494906774,0.83695652173913,0.2924365990038803,2.1434702705191535,0.1393593810712108,0.1213246718638819,0.0180347092073289,13.795,14.279615384615385,14.433318586804416,13.209888507892453,1.1538461538461535,0.7736263736263735,0.38021978021978,0.2657954339513835,22.676533794027847,-0.6165000000000003,-222.0692401513718,-295.71208232346976,73.64284217209797,14.52,13.325,13.3725,12.34,81.76704937994874,20.85880052826617,32.684665156435386,19.752405476181856,110.84556731535184,12.34,36.78961790814357,88.0,52.0,36.0,13.978830792473394,14.499717241226875,0.0,0.0,60.175209156698976,0.4024766957716118,0.2429365498492167,0.1938936506465432,19.18291924647794,49.63982340026905,66.16541353383451,58.75200377888646,-33.83458646616549,0.3667692307692292,0.2132196162046862,1.057977347416929,0.9245608398147496,0.1334165076021792,-9.32732243383838,-0.5850965989134177,-8.74222583492496,12.810668308822097,0.4201680672268892,0.4192878260036004,11.171032357473033,0
2015-11-13,14.43,14.46,14.25,14.37,571470.0,611.27,622.34,81.57,1080.800048828125,43.61000061035156,11,13,4,0,0,0,0,0,0,0,-0.0600000000000005,-0.0041666726948457,-4981508.599081375,13345290.0,-0.0509990758965971,22880.53293946211,0.8904425829430678,1.7407554352332704,282755.18947925407,14.411373101086175,68.15066449095474,1068.8192774615522,13.6375,14.703124230204986,12.571875769795012,15.627853055251876,0.731085210921519,0.0,0.0,14.053999999999998,14.374,13.734,4.5538636687064225,0.6187500000000007,0.0,0.0,12.8,14.64,13.72,13.492208982584785,0.7228260869565218,0.2781929391034921,2.178432808729867,0.1289083824391781,0.1228414139789411,0.0060669684602369,13.890833333333331,14.28653846153846,14.42357726575758,13.282489359159676,1.1476997578692492,0.8595641646489104,0.2881355932203387,0.2618495497540085,22.929458499841935,-0.6274999999999995,-206.44518689835743,-274.6367851900054,68.19159829164798,14.52,13.37,13.447500000000002,12.34,40.88352468997437,21.20524017175688,32.232864439676376,19.048866924568937,84.93111773895761,12.34,36.78961790814357,84.0,48.0,36.0,14.03470094492499,14.499717241226875,0.0,0.0,58.663119809562446,0.3303297843907047,0.3205162881077519,0.239295724062105,18.910125106590883,52.945864807681104,47.42268041237119,57.69909880006448,-52.57731958762881,0.3118518518518502,-4.1924398625429635,0.9778787745654164,0.935224426764883,0.0426543478005333,-12.725792312041024,-3.013235741538939,-9.712556570502084,12.810668308822097,-1.46443514644351,-1.4752638475037827,10.939907550077033,0
