Date,Close,High,Low,Open,Volume
2015-05-26,40.397762298583984,40.64921943559785,40.050924640103545,40.60586555521006,29581900
2015-05-27,41.28218460083008,41.42091896655775,40.42376343885446,40.5971822229361,27335600
2015-05-28,41.14344787597656,41.637689232272585,41.09142125142877,41.186801742589054,19283700
2015-05-29,40.63186264038086,41.24749612094715,40.39774780107652,41.12610397634961,36519600
2015-06-01,40.95268630981445,41.420916001005274,40.423760544693856,40.80528250389584,28837300
2015-06-02,40.68389129638672,41.056740536708375,40.423764765570944,40.692564055103944,21498300
2015-06-03,40.623199462890625,41.394912992672666,40.59718779939626,41.074087040361874,28002200
2015-06-04,40.19831848144531,40.89199026084327,40.05958412556572,40.57116768306321,27745500
2015-06-05,40.0075569152832,40.33705224605036,39.747430415282984,40.154964026819,25438100
2015-06-08,39.65205383300781,40.2590179312599,39.60002720480738,40.14629522400308,22121600
2015-06-09,39.58268737792969,39.834141139133955,39.41793804632313,39.67806456586887,24406100
2015-06-10,40.41510009765625,40.6058611197522,39.617374893363944,39.70408595235696,28417400
2015-06-11,40.267696380615234,40.683899576161636,39.99890034406656,40.458457418957366,27347800
2015-06-12,39.86016845703125,40.293713893169716,39.799472360587,40.07694117510049,23931000
2015-06-15,39.435279846191406,39.582686967273865,39.036418966513416,39.40926818681314,33254500
2015-06-16,39.73876190185547,40.09426889869496,39.27920165641321,39.322555522820366,27070300
2015-06-17,39.86016845703125,39.946876221183274,39.331242495712054,39.65206519230155,28704100
2015-06-18,40.510459899902344,40.57982540394867,40.03355758845323,40.076914749630056,32658300
2015-06-19,39.972869873046875,40.605848835290764,39.877492698541985,40.57116442218661,63837000
2015-06-22,40.085594177246094,40.5104699856753,40.02489810571161,40.17230521350094,20318100
2015-06-23,39.80812072753906,40.128943254188655,39.55666371393029,39.998881676854324,25896500
2015-06-24,39.57400894165039,40.10293466319499,39.495970666214504,39.600020597566456,34890900
2015-06-25,39.58268737792969,39.93819439310278,39.45262246431273,39.912179425766496,20616000
2015-06-26,39.24451446533203,40.12894716979166,39.04508404780992,39.582682537848044,49835300
2015-06-29,38.472808837890625,39.218507280059136,38.464139387309004,39.05376125750326,34081700
2015-06-30,38.28205871582031,38.776300188778585,38.09996714076559,38.76762742879614,35945400
2015-07-01,38.54216384887695,39.21849321305211,38.238680264364476,38.550833296349,28343900
2015-07-02,38.49882507324219,38.80230546891821,38.20401412843338,38.56819060324461,21752000
2015-07-06,38.490150451660156,38.56818873644076,38.1086317858928,38.11730123634039,23034000
2015-07-07,38.41211700439453,38.57686635283948,37.56236852292858,38.4468014259291,36435800
2015-07-08,38.36009216308594,38.93237186502533,38.1780006110733,38.53350764852522,39785900
2015-07-09,38.602867126464844,39.20983110135994,38.58552492058926,38.802297532502685,32424700
