Date,Close,High,Low,Open,Volume,rolling_mean_3,rolling_std_3,rolling_return_3,zscore_5,rsi,macd,macd_signal,macd_diff,macd_zscore,bb_upper,bb_middle,bb_lower,ema_12,ema_26,sma_20,sma_50,stoch_k,stoch_d,atr,vwap,ichimoku_a,ichimoku_b,ichimoku_base_line,kc_upper,kc_middle,kc_lower,cmf,donchian_upper,donchian_lower,donchian_middle,cci,obv,williams_r,supertrend,supertrend_direction,hma,dpo,rsi_overbought,rsi_oversold,macd_cross,price_breaks_bb_upper,price_breaks_bb_lower,price_above_ema12,price_above_ema26,price_above_sma20,stoch_overbought,stoch_oversold,atr_high_volatility,price_above_vwap,ichimoku_bullish,ichimoku_bearish,kc_bullish,kc_bearish,cmf_bullish,cmf_bearish,donchian_bullish,donchian_bearish,cci_bullish,cci_bearish,obv_bullish,williams_r_overbought,williams_r_oversold,supertrend_bullish,hma_bullish,hma_bearish,dpo_bullish,dpo_bearish
2015-08-04,41.221492767333984,41.36889659898495,40.47579423437642,40.53649031890194,33403900,40.76771545410156,0.39586572216765414,0.014078523476139582,1.542370590074091,63.41141855301635,0.290838770108202,0.14869400567424412,0.1421447644339579,1.2439800642049914,41.46807444902243,39.897872352600096,38.32767025617776,40.25629595439527,39.96545718428707,39.897872352600096,39.843333053588864,94.1781590257735,81.58436776335368,0.801923220747522,40.17119103397482,39.78428683159397,39.60002887760058,39.46563256095676,40.618424416232,39.87489433837742,39.13136426052285,0.05930060119755144,41.36889659898495,38.1780006110733,39.77344860502913,130.28069671083756,-201892700,-5.8218409742265,38.64772876070711,1,40.01272764660063,-0.2750026157924097,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1
2015-08-05,41.256168365478516,41.975851774223266,41.221483950971155,41.603002587488675,26959700,41.02205912272135,0.37585924981084223,0.01884346473534282,1.1294107610000137,63.67856227358456,0.3490570592464337,0.18876661638868206,0.16029044285775165,1.3664442519677846,41.551881940397614,40.04267616271973,38.533470385041845,40.41012247917731,40.06106541993088,40.04267616271973,39.86050117492676,77.07186703559601,82.88158231495295,0.7985264066407068,40.23709908298365,40.08776441921312,39.76911014857592,39.76911014857592,40.76814156888848,40.024611662568894,39.28108175624932,0.054545385144061515,41.975851774223266,38.58552492058926,40.28068834740626,162.28812322598503,-174933000,-22.928132964403993,39.15827393731937,1,40.30650720142183,-0.4793788364955347,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
2015-08-06,40.42375183105469,41.420907072421905,40.17229813941457,41.36888045983055,27368000,40.9671376546224,0.4709052072524113,-0.004059384761480156,-0.9136805731750378,53.56739401776322,0.32428822252894207,0.21587093761673407,0.108417284912208,1.200283526410324,41.4971644155478,40.13372039794922,38.77027638035064,40.412219302543065,40.08793108001412,40.13372039794922,39.84333251953125,50.552210265507746,73.93407877562575,0.8306751585240372,40.25343739661822,40.08776441921312,39.76911014857592,39.76911014857592,40.893002271408264,40.11825722747685,39.343512183545435,0.07674730619573207,41.975851774223266,38.64622378885949,40.31103778154137,64.70761915425025,-202301000,-49.447789734492254,39.15827393731937,1,40.67274874732608,-0.9909564426967066,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
2015-08-07,40.52781295776367,40.56249406523229,40.111606591261435,40.22432928667612,19163000,40.73591105143229,0.45355036560114037,-0.01682810987670058,-0.686099882440872,54.53919584385844,0.309488018997385,0.23459435389286426,0.07489366510452072,1.1004772908765437,41.42347874394937,40.22606563568115,39.02865252741294,40.43000294180777,40.120514922810386,40.22606563568115,39.83101982116699,53.867455998031645,60.497177766378464,0.8035474667702387,40.23700137238413,40.08776441921312,39.76911014857592,39.76911014857592,40.96973985390528,40.19716250259414,39.42458515128299,0.1361869006464926,41.975851774223266,38.83698560547738,40.40641868985033,26.479786251179906,-183138000,-46.132544001968355,39.15827393731937,1,40.98448626200358,-0.9884864262172144,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
2015-08-10,41.03940200805664,41.17813637959991,40.61452613463069,40.70990663525824,23079900,40.663655598958336,0.3295393792639772,-0.005254156311889968,0.37158450617602357,59.074120475298336,0.33517601147897125,0.2547106854100857,0.08046532606888557,1.2034191472386988,41.50069053708453,40.303670692443845,39.10665084780316,40.523756644307596,40.188580632828625,40.303670692443845,39.839170608520504,70.16598619300873,58.19521748551605,0.792602892132096,40.22221734960447,40.18964920946326,39.76911014857592,39.76911014857592,41.04907924635006,40.277368834206236,39.50565842206241,0.12215661475211209,41.975851774223266,38.83698560547738,40.40641868985033,90.39021200616916,-160058100,-29.83401380699126,39.15827393731937,1,41.16719300406319,-0.16783741542271002,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1
2015-08-11,40.24166488647461,40.70122173493029,39.79945024274954,40.597171814233924,29237400,40.602959950764976,0.4041428357713976,-0.004504454345086173,-1.0600241033541105,50.598126470999226,0.287845112567922,0.26133757084165293,0.026507541726269068,0.9055018023846091,41.48567040213253,40.3379207611084,39.19017112008427,40.48035791233329,40.19251279976537,40.3379207611084,39.82495018005371,44.75116827164568,56.26153682089535,0.8245563830731675,40.28250293713058,40.32838057853116,39.76911014857592,39.76911014857592,41.10009300462958,40.31147435692488,39.52285570922019,0.12172198422808463,41.975851774223266,38.83698560547738,40.40641868985033,-9.398666702761219,-189295500,-55.24883172835432,39.15827393731937,1,41.202287310645694,0.2898608616420191,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
2015-08-12,40.52781295776367,40.666547310701795,39.63470745976714,40.050910518581496,30181400,40.602959950764976,0.4041428357713976,0.0,-0.08189407265376254,53.19245484746042,0.2703088400473632,0.263131824682795,0.007177015364568218,0.7588681790667123,41.4895690901958,40.38040828704834,39.27124748390088,40.487658688553346,40.21734984850598,40.38040828704834,39.82182861328125,53.867455998031645,56.261536820895344,0.8393623450632736,40.325940210121345,40.44110290482175,39.76911014857592,40.07692619264829,41.16454688533143,40.34427928820178,39.52401169107213,0.1370957298339721,41.975851774223266,38.83698560547738,40.40641868985033,-10.830911115246389,-159114100,-46.132544001968355,39.15827393731937,1,41.17771739051455,0.09476661682128906,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
2015-08-13,40.519142150878906,40.839964737302466,40.31104226529693,40.80528362816417,22627200,40.4295399983724,0.1627623696557671,-0.012677081821893976,-0.17996359324799163,53.10145486250675,0.25279746427495553,0.26106495260122714,-0.00826748832627161,0.5500770526196643,41.49377287271302,40.38344306945801,39.273113266203,40.49250229814189,40.23970483386694,40.38344306945801,39.81974746704102,53.59121590308583,50.73661339092104,0.8171880684162921,40.37066965297398,40.54298398220074,39.76911014857592,40.28068834740626,41.17422934868608,40.35873077650761,39.54323220432914,0.09342264648792754,41.975851774223266,38.83698560547738,40.40641868985033,31.278427449523363,-181741300,-46.40878409691417,39.15827393731937,1,41.03381865365165,0.14121682303292715,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
2015-08-14,40.753257751464844,40.83996548743527,40.3370546649682,40.34572411549,21473400,40.60007095336914,0.13273447953006104,0.012713014395241418,0.4596225716606309,55.323856206362215,0.2548727310039922,0.25982650828178017,-0.004953777277787952,0.4957483366357356,41.52186941210833,40.39991836547851,39.277967318848695,40.532618521730036,40.277745790726044,40.39991836547851,39.830846252441404,61.04981999768082,56.169497299599435,0.7947396937056335,40.47229129094149,40.55815869926829,39.76911014857592,40.31103778154137,41.19070453958941,40.372604795590746,39.554505051592095,0.09884306775905406,41.975851774223266,38.83698560547738,40.40641868985033,41.68872110302336,-160267900,-38.95018000231918,39.15827393731937,1,40.849870318458194,0.6720008850097656,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0
2015-08-17,41.030723571777344,41.143446266711244,40.38040567496217,40.588508857325685,21099700,40.76770782470703,0.25609664389570236,0.012409024255460865,1.4108393029329673,57.87185533248487,0.2757281452353908,0.2630068356725023,0.012721309562888472,0.6424268502843911,41.566618992490746,40.417259979248044,39.26790096600534,40.60925006789116,40.33352192265577,40.417259979248044,39.851309585571286,65.39673939569336,60.01259176548666,0.7924754721373078,40.60092237965181,40.60584915342277,39.76911014857592,40.40641868985033,41.21122538932091,40.384888348701466,39.55855130808202,0.10488159367445535,41.975851774223266,38.83698560547738,40.40641868985033,70.23778483193679,-139168200,-34.60326060430665,39.15827393731937,1,40.70163953871955,0.5840451376778759,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
