Date,Close
2022-05-09,149.85520935058594
2022-05-10,152.2696990966797
2022-05-11,144.3758544921875
2022-05-12,140.4929962158203
2022-05-13,144.9770050048828
2022-05-16,143.42979431152344
2022-05-17,147.0761260986328
2022-05-18,138.7781982421875
2022-05-19,135.35855102539062
2022-05-20,135.5950469970703
2022-05-23,141.03500366210938
2022-05-24,138.3249053955078
2022-05-25,138.48257446289062
2022-05-26,141.69529724121094
2022-05-27,147.47032165527344
2022-05-31,146.68190002441406
2022-06-01,146.55381774902344
2022-06-02,149.01754760742188
2022-06-03,143.2720947265625
2022-06-06,144.02105712890625
2022-06-07,146.55381774902344
2022-06-08,145.81468200683594
2022-06-09,140.57183837890625
2022-06-10,135.14169311523438
2022-06-13,129.9678192138672
2022-06-14,130.83506774902344
2022-06-15,133.4663543701172
2022-06-16,128.1741943359375
2022-06-17,129.65248107910156
2022-06-21,133.8999786376953
2022-06-22,133.3875274658203
2022-06-23,136.2651824951172
2022-06-24,139.6060333251953
2022-06-27,139.6060333251953
2022-06-28,135.4472198486328
2022-06-29,137.21127319335938
2022-06-30,134.7376251220703
2022-07-01,136.9156036376953
2022-07-05,139.50747680664062
2022-07-06,140.84774780273438
2022-07-07,144.22802734375
2022-07-08,144.90802001953125
2022-07-11,142.76947021484375
2022-07-12,143.7451171875
2022-07-13,143.38050842285156
2022-07-14,146.3173065185547
2022-07-15,147.99261474609375
2022-07-18,144.93756103515625
2022-07-19,148.81060791015625
2022-07-20,150.82102966308594
2022-07-21,153.09754943847656
2022-07-22,151.8557891845703
2022-07-25,150.7323455810547
2022-07-26,149.40191650390625
2022-07-27,154.5166473388672
2022-07-28,155.06854248046875
2022-07-29,160.15370178222656
2022-08-01,159.168212890625
2022-08-02,157.68997192382812
2022-08-03,163.7212371826172
2022-08-04,163.40586853027344
2022-08-05,163.17889404296875
2022-08-08,162.70516967773438
2022-08-09,162.7545623779297
2022-08-10,167.01780700683594
2022-08-11,166.2776641845703
2022-08-12,169.84024047851562
2022-08-15,170.9159698486328
2022-08-16,170.75804138183594
2022-08-17,172.2581024169922
2022-08-18,171.8633270263672
2022-08-19,169.2678680419922
2022-08-22,165.36972045898438
2022-08-23,165.0341796875
2022-08-24,165.3302764892578
2022-08-25,167.7974395751953
2022-08-26,161.4716033935547
2022-08-29,159.26104736328125
2022-08-30,156.82345581054688
2022-08-31,155.1556396484375
2022-09-01,155.8859405517578
2022-09-02,153.76412963867188
2022-09-06,152.50096130371094
2022-09-07,153.91220092773438
2022-09-08,152.431884765625
2022-09-09,155.30368041992188
2022-09-12,161.2841033935547
2022-09-13,151.82000732421875
2022-09-14,153.27072143554688
2022-09-15,150.36932373046875
2022-09-16,148.72125244140625
2022-09-19,152.4516143798828
2022-09-20,154.83982849121094
2022-09-21,151.7015838623047
2022-09-22,150.73446655273438
2022-09-23,148.4547882080078
2022-09-26,148.79034423828125
2022-09-27,149.76731872558594
2022-09-28,147.87252807617188
2022-09-29,140.60916137695312
2022-09-30,136.38536071777344
2022-10-03,140.57955932617188
2022-10-04,144.18165588378906
2022-10-05,144.4777069091797
2022-10-06,143.52044677734375
2022-10-07,138.2505340576172
2022-10-10,138.5762176513672
2022-10-11,137.15512084960938
2022-10-12,136.52354431152344
2022-10-13,141.11248779296875
2022-10-14,136.5630340576172
2022-10-17,140.5401153564453
2022-10-18,141.86251831054688
2022-10-19,141.97103881835938
2022-10-20,141.50726318359375
2022-10-21,145.3363037109375
2022-10-24,147.48764038085938
2022-10-25,150.3397216796875
2022-10-26,147.38897705078125
2022-10-27,142.89871215820312
2022-10-28,153.69505310058594
2022-10-31,151.32659912109375
2022-11-01,148.67190551757812
2022-11-02,143.12571716308594
2022-11-03,137.0564727783203
2022-11-04,136.78955078125
2022-11-07,137.3233184814453
2022-11-08,137.8966827392578
2022-11-09,133.31988525390625
2022-11-10,145.18197631835938
2022-11-11,147.97943115234375
2022-11-14,146.5757598876953
2022-11-15,148.31553649902344
2022-11-16,147.0799102783203
2022-11-17,148.9877166748047
2022-11-18,149.55116271972656
2022-11-21,146.30885314941406
2022-11-22,148.45391845703125
2022-11-23,149.333740234375
2022-11-25,146.40771484375
2022-11-28,142.5624237060547
2022-11-29,139.54747009277344
2022-11-30,146.3286590576172
2022-12-01,146.6054229736328
2022-12-02,146.11117553710938
2022-12-05,144.9447479248047
2022-12-06,141.26748657226562
2022-12-07,139.32009887695312
2022-12-08,141.01046752929688
2022-12-09,140.526123046875
2022-12-12,142.82933044433594
2022-12-13,143.79806518554688
2022-12-14,141.5640411376953
2022-12-15,134.93116760253906
2022-12-16,132.9640350341797
2022-12-19,130.8486328125
2022-12-20,130.77944946289062
2022-12-21,133.89321899414062
2022-12-22,130.71023559570312
2022-12-23,130.344482421875
2022-12-27,128.53553771972656
2022-12-28,124.59137725830078
2022-12-29,128.12034606933594
2022-12-30,128.43667602539062
2023-01-03,123.63251495361328
2023-01-04,124.90769958496094
2023-01-05,123.58309173583984
2023-01-06,128.13021850585938
2023-01-09,128.65414428710938
2023-01-10,129.22744750976562
2023-01-11,131.95578002929688
2023-01-12,131.87669372558594
2023-01-13,133.21115112304688
2023-01-17,134.37757873535156
2023-01-18,133.6559600830078
2023-01-19,133.7152862548828
2023-01-20,136.28541564941406
2023-01-23,139.48817443847656
2023-01-24,140.891845703125
2023-01-25,140.22955322265625
2023-01-26,142.30543518066406
2023-01-27,144.2527618408203
2023-01-30,141.3564453125
2023-01-31,142.6316375732422
2023-02-01,143.7584991455078
2023-02-02,149.08656311035156
2023-02-03,152.72425842285156
2023-02-06,149.98611450195312
2023-02-07,152.87255859375
2023-02-08,150.17391967773438
2023-02-09,149.13600158691406
2023-02-10,149.50230407714844
2023-02-13,152.31394958496094
2023-02-14,151.67044067382812
2023-02-15,153.77915954589844
2023-02-16,152.17535400390625
2023-02-17,151.0269317626953
2023-02-21,146.99757385253906
2023-02-22,147.4232635498047
2023-02-23,147.9084014892578
2023-02-24,145.24525451660156
2023-02-27,146.44314575195312
2023-02-28,145.93821716308594
2023-03-01,143.85919189453125
2023-03-02,144.45321655273438
2023-03-03,149.5220947265625
2023-03-06,152.2941436767578
2023-03-07,150.08642578125
2023-03-08,151.34373474121094
2023-03-09,149.0865020751953
2023-03-10,147.01734924316406
2023-03-13,148.9676971435547
2023-03-14,151.0665283203125
2023-03-15,151.46253967285156
2023-03-16,154.2939910888672
2023-03-17,153.45248413085938
2023-03-20,155.82850646972656
2023-03-21,157.68975830078125
2023-03-22,156.25421142578125
2023-03-23,157.34323120117188
2023-03-24,158.65005493164062
2023-03-27,156.69973754882812
2023-03-28,156.0760040283203
2023-03-29,159.1648712158203
2023-03-30,160.73898315429688
2023-03-31,163.2536163330078
2023-04-03,164.51097106933594
2023-04-04,163.97634887695312
2023-04-05,162.125
2023-04-06,163.01605224609375
2023-04-10,160.41229248046875
2023-04-11,159.19456481933594
2023-04-12,158.50155639648438
2023-04-13,163.9070281982422
2023-04-14,163.56053161621094
2023-04-17,163.58033752441406
2023-04-18,164.80795288085938
2023-04-19,165.95639038085938
2023-04-20,164.98614501953125
2023-04-21,163.3724365234375
2023-04-24,163.67935180664062
2023-04-25,162.13490295410156
2023-04-26,162.125
2023-04-27,166.72857666015625
2023-04-28,167.98590087890625
2023-05-01,167.89678955078125
2023-05-02,166.85728454589844
2023-05-03,165.77818298339844
2023-05-04,164.13473510742188
2023-05-05,171.8370819091797
2023-05-08,171.7677764892578
2023-05-09,170.05503845214844
2023-05-10,171.82717895507812
2023-05-11,172.0152587890625
2023-05-12,171.0833740234375
2023-05-15,170.5876922607422
2023-05-16,170.5876922607422
